new_la_code,la_name,imd,ehfs_sp_2011,ehfs_sp_2012,ehfs_sp_2013,ehfs_sp_2014,ehfs_sp_2015,ehfs_sp_2016,ehfs_sp_2017,ehfs_sp_2018,ehfs_sp_2019,cin_2011,cin_2012,cin_2013,cin_2014,cin_2015,cin_2016,cin_2017,cin_2018,cin_2019,region,inr_ldn
E06000005,Darlington,23.64,5.946101005356452,5.866524712552133,5.7783641441214435,5.715183897380643,5.55074783848714,5.483717512951589,5.397529016618985,5.268631056177676,5.155139596871709,5.943324171780047,5.924897302835869,5.916687120150159,5.980403599748557,5.91943134420815,6.015425184552825,5.919162635352577,5.992538969709248,6.140013854211221,North East,0
E06000047,Durham,25.74,6.442141998037695,6.2395933511161,6.145408062621053,6.034739530589304,5.860672256857958,5.765191102784844,5.551175047845637,5.534219183960909,5.413251904640136,5.96563378707346,5.957675058118561,NA,5.712411801354255,5.922650231107622,5.861925175752996,6.012491914300058,5.872343116200119,5.86765715137991,North East,0
E08000020,Gateshead,25.93,6.221087064519901,6.0793151551780085,5.8737221356264255,5.885770642548918,5.8451084107466365,5.6458001921178536,5.502563480757783,5.465482983452789,5.492238059185343,5.783825182329737,5.629992400685445,5.962576270014197,5.985446474782419,5.981666704627871,6.03140615420093,6.0758056955417326,6.059356813150901,5.940171252720432,North East,0
E06000001,Hartlepool,33.18,6.587343381907437,6.393741244298632,6.260135803698153,6.245835410838764,6.203850441769232,6.168375660480489,5.978556596807198,5.914421502609669,5.907403359481547,6.067035733955056,6.117920971060541,6.3058737464874195,6.41066818132666,6.391246872080648,6.274762021241939,6.491633590685444,6.523268577259164,6.54791819789619,North East,0
E06000002,Middlesbrough,40.22,6.615717065643983,6.245253688536579,6.143090614209253,6.089520952580332,5.739278310341041,5.786989401672587,5.637393353325012,5.861754415585237,5.774644708906431,6.599734435534826,6.607420159962591,6.667452852577131,6.542760103427686,6.477895014039251,6.5018900908526325,6.468474822379242,6.534762201270815,6.50296993977873,North East,0
E08000021,Newcastle upon Tyne,28.26,6.520414920732519,6.193547880690543,6.086274601870625,6.12846180168817,5.969627852498808,5.74594756681688,5.772624223613607,5.750920481113605,5.669052994135103,6.223369604090764,6.130421817995772,6.021896754228184,6.101887228358073,6.004133950208645,6.032606490439157,6.119197913617533,6.200184577756468,6.30612929088965,North East,0
E08000022,North Tyneside,21.28,6.085137022970617,5.818627866325242,6.026204080911879,5.858418750848172,5.681843567137447,5.693193273101933,5.522220629208489,5.395489448300296,5.3694279940059895,6.023447592961033,5.971414889302278,5.945368251215008,5.9589413554024215,5.850764665004847,5.891091572961195,5.807241183024431,5.734052997674449,5.785178112860195,North East,0
E06000048,Northumberland,20.52,6.237640797532764,6.085159787235275,6.020950531164366,5.842819516673411,5.780403951974222,5.7866212696317385,5.696824994088702,5.7375395714543345,5.672360604647861,6.218002331490207,6.130943840846125,6.2461842818569355,6.409187552611648,6.332568896055757,6.193384461970565,6.043582501370088,6.1243332201824066,5.991289531793695,North East,0
E06000003,Redcar and Cleveland,28.57,6.483183801134236,6.111489512205864,6.044626095222214,6.055612366931734,5.951579613409067,5.9626534652538625,5.953658832372083,5.941144463207967,5.961159966843127,6.069582326371934,6.179333190331053,6.213887839097708,6.059823884621325,5.851340039013816,5.978885764901122,6.133181099726462,6.150879915538542,6.14233843554211,North East,0
E08000023,South Tyneside,30.61,6.268717424069224,6.2289448345222445,6.008616605925548,5.906913776705081,5.93407375332873,5.970062140847546,5.925752003742601,5.830914266783482,5.810811597414573,5.945420608606575,6.151859973568241,6.182807785872394,6.160363083569796,6.234410725718371,6.149109116189496,6.019565977218857,6.117920971060541,6.0902006698441316,North East,0
E06000004,Stockton-on-Tees,24.62,5.877091316453384,5.767727069454437,5.364011469743399,5.51813539443367,5.530499942512916,5.48034721413233,5.327973251455547,5.322717253371572,5.304249735201145,6.063785208687608,6.167663230645646,6.300198466256375,6.196036712836756,6.104569993213254,6.241250029368613,6.173786103901937,6.219913997212373,6.065713580740637,North East,0
E08000024,Sunderland,29.73,6.371748590018887,6.069605447491922,5.819222025755692,5.634861029189779,5.520500456767122,5.5991994344637614,5.448890225027411,5.247339811783169,4.819716890076783,6.0879104453762345,6.061060569995885,6.07149956244424,6.191748804276109,6.257475998649367,6.129268051255177,6.211202305287359,6.277526557968365,6.1376190568940565,North East,0
E06000008,Blackburn with Darwen,34.19,6.3397594766011105,6.040254711277414,6.133463116801211,5.9051165863727535,5.757797062962439,5.658261959354392,5.333443168523411,5.383990348286186,5.33508314573836,6.126432407518466,6.1393024863070265,6.067730902561432,5.973809611869261,6.047135744478443,5.96409335031185,6.139884552226255,6.0803450096018565,6.176449221321421,North West,0
